,listing_id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_listings_count,longitude,latitude,room_type,accommodates,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,base_price
0,638401413782978130,382146507,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,f,72,-4.420914,36.722069,Entire home/apt,4,100,58,4,4.97,t,3.99,160.0
1,593807685540946920,11733642,Airgestión,2014-01-28,Spain,within an hour,100%,f,21,-4.41326,36.72718,Entire home/apt,7,12,4,1,5.0,t,0.46,180.0
2,689209787389564671,13967638,Susanna,2014-04-06,"Málaga, Spain",within a few hours,100%,f,2,-4.412884,36.7277096,Entire home/apt,4,11,6,0,4.73,f,0.6,85.0
3,1169368107504912867,4884962,"Esther, Francisco & Sara",2013-01-28,"Andalusia, Spain",within an hour,100%,f,23,-4.4208213,36.7192407,Entire home/apt,10,0,0,0,,t,,191.0
4,53218911,413971511,Montana,2021-07-19,"Andalusia, Spain",within an hour,95%,f,22,-4.43439,36.73737,Entire home/apt,2,17,4,0,3.47,t,0.53,50.0
5,52295523,422798059,Carlos Alberto,2021-09-13,"Málaga, Spain",within an hour,100%,t,3,-4.41858,36.72423,Entire home/apt,2,122,64,9,4.89,t,4.44,85.0
6,1105849600091052946,446668777,Rodo,2022-02-24,"Málaga, Spain",within an hour,100%,f,1,-4.420344155986767,36.72398523806071,Entire home/apt,2,18,18,3,4.83,f,6.21,70.0
7,31748629,126386697,Lu&Cia,2017-04-18,"Málaga, Spain",within an hour,100%,f,44,-4.42382,36.71419,Entire home/apt,2,26,6,1,4.62,t,0.39,85.0
8,1151936773590880075,399961266,Gestitur,2021-05-04,,within an hour,100%,f,62,-4.4289716,36.7141272,Entire home/apt,4,3,3,1,5.0,t,1.73,400.0
9,701861352072019656,428065882,Maria,2021-10-19,,,,f,7,-4.4209,36.7208,Entire home/apt,2,1,1,0,5.0,t,0.16,200.0
10,51874830,382146507,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,f,72,-4.43704,36.71287,Entire home/apt,4,12,5,0,5.0,t,0.35,115.0
11,1184612577583664481,79877163,Santi,2016-06-25,"Andalusia, Spain",within an hour,100%,f,2,-4.4295379,36.7238422,Private room,5,0,0,0,,t,,70.0
12,1107837608951574164,329266025,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,f,52,-4.418858700022535,36.72560036686984,Entire home/apt,9,0,0,0,,f,,250.0
13,52250461,138864019,Alberto,2017-07-06,"Málaga, Spain",within an hour,100%,f,29,-4.37866,36.72282,Entire home/apt,4,80,33,1,4.59,t,2.41,60.0
